source_url,name,bio,age,tour,badge,cause,end_of_watch,incident_details,matched_input_name,fuzzy_score
https://www.odmp.org/officer/11172-patrolman-michael-m-ren,Patrolman Michael M. Ren,"Patrolman Michael Ren was shot and killed after being called to assist a Lincoln County Sheriff's Office deputy serving two felony warrants on a recently released mental patient. The subject was wanted for violating the terms of his release from a state mental health facility. Patrolman Ren spotted the subject driving a pickup truck, and a high-speed chase ensued. During the chase, the subject retrieved a .308 rifle from inside the cab of his pickup and opened fire on both officers. Five rounds struck Patrolman Ren's patrol car before the subject crashed in the town of Eureka. As Patrolman Ren pulled up, the subject jumped from his truck and shot Ren in the abdomen with the .308; the round traveled between the back panels of his Kevlar vest. The suspect ran to a nearby residence and took the household hostage. Officers from the sheriff's department, Highway Patrol, and U.S. Border Patrol surrounded the place. After six hours, the suspect released his hostages but remained barricaded inside the house. Three canisters of tear gas were fired into the home, and the suspect surrendered. The suspect was charged with the murder of a police officer and was committed to a mental institution. He was later released and committed suicide. Patrolman Ren was a United States Air Force veteran who served with the Montana Highway Patrol for six years assigned to District VI and previously served as a police officer in Columbia Falls, Montana, for two years. He was survived by his wife, a 5-year-old son, and his parents. In 2000 Patrolman Ren's son joined the Montana Highway Patrol.",30,8 years,240,Gunfire,"Saturday, April 8, 1978",Cause: Gunfire Weapon: Rifle; .308 caliber Offender: Committed suicide,Michael M. Ren,100.0
https://www.odmp.org/officer/1207-patrolman-james-h-anderson,Patrolman James H. Anderson,"Patrolman James Anderson was struck and killed by a vehicle during a traffic stop for a routine equipment inspection about 11 miles east of Bozeman and 10 miles west of Livingston, Montana, on U.S. Highway 10. He was standing at the driver's side window of the vehicle he pulled over when he was struck. The driver who struck Patrolman Anderson was acquitted of involuntary manslaughter. Patrolman Anderson was a United States Navy WWII veteran who had served with the Montana Highway Patrol for nine years and previously served with the Custer County Sheriff's Office for ten years. He was survived by his wife, son, three brothers and a sister. His son served with the FBI for a few years.",47,19 years,151,Struck by vehicle,"Saturday, July 24, 1954",Cause: Struck by vehicle,James H. Anderson,100.0
https://www.odmp.org/officer/12739-patrolman-robert-g-steele,Patrolman Robert G. Steele,"Trooper Bob Steele was shot and killed while he and his partner investigated a vehicle that had just been used in a robbery in the city of Billings, Montana. They observed a vehicle matching the description pull off of Highway 10 and turn its lights off. Trooper Steele and a fellow trooper, riding together, pulled in behind the vehicle. Trooper Steele approached on the passenger's side with his gun drawn. One of the occupants suddenly turned and shot Trooper Steele in the throat, killing him. Trooper Steele's partner shot and killed the suspect. The driver of the vehicle then jumped out of the vehicle and exchanged shots with the partner. Both were wounded in the shootout. The second suspect fled but was apprehended after an 11-hour manhunt. He pleaded guilty to murder and was sentenced to life in prison. Despite escaping prison, he was granted parole. While on parole, he was convicted of burglary and returned to prison. Patrolman Steele was a WWII veteran and had been with the Montana Highway Patrol for six years. He had returned to the police force from WWII only two months before his murder. He was survived by his sister, three nieces, and a nephew.",30,6 years,178,Gunfire,"Saturday, November 2, 1946",Cause: Gunfire Weapon: Handgun; .38 caliber Offender: One shot and killed,Robert G. Steele,100.0
https://www.odmp.org/officer/16514-reserve-deputy-deborah-jean-hobbs,Reserve Deputy Deborah Jean Hobbs,"Reserve Deputy Hobbs succumbed to injuries received two weeks earlier when she and her partner were involved in an on-duty automobile accident on U.S. Highway 93. The officer's Jeep Cherokee patrol car went out of control after hitting a patch of black ice. The car spun into the oncoming lanes and was broadsided by a pickup truck. Reserve Deputy Hobbs was transported to Kalispell Regional Medical Center, where she succumbed to her injuries 12 days later without regaining consciousness. Reserve Deputy Hobbs had been with the Lake County Sheriff's Office for over two years. She is survived by her parents and husband who is also a reserve deputy and detention officer for the same agency.",39,2 years,15-47,Automobile crash,"Thursday, January 16, 2003","Cause: Automobile crash Incident Date: Saturday, January 4, 2003",Deborah Hobbs,100.0
https://www.odmp.org/officer/19026-trooper-david-a-graham,Trooper David A. Graham,"Trooper David Graham was killed in an automobile accident on Highway 2, in Kalispell, while on patrol. An oncoming pickup truck crossed into his lane and struck his patrol car head-on. Trooper Graham had served with the Montana Highway Patrol for 14 months. He is survived by his wife and three children.",36,"1 year, 2 months",224,Automobile crash,"Tuesday, October 9, 2007",Cause: Automobile crash,David Graham,100.0
https://www.odmp.org/officer/20576-trooper-david-james-delaittre,Trooper David James DeLaittre,"Trooper David DeLaittre was shot and killed while conducting a vehicle stop on Lane Road, near the Three Forks Airport, in Gallatin County at about 4:20 pm. He had stopped the vehicle after seeing a man walking nearby with a shotgun. Before Trooper DeLaittre exited the vehicle the driver exited the truck and started walking back towards the patrol car, then suddenly turned around and reached into the pickup truck. As Trooper DeLaittre instructed the man to come back the man emerged with a 12-gauge shotgun loaded with birdshot. The two exchanged shots at range of 35-feet and Trooper DeLaittre was struck in the abdomen. He took cover on the passenger side of his patrol car as the subject reloaded his shotgun. They exchanged shots again and Trooper  DeLaittre suffered a fatal shot. The suspect, who had been wounded once in the chest during the shootout, fled in his truck. He was found dead several hours later after having committed suicide with a .22 caliber rifle. Trooper DeLaittre had served with the Montana Highway Patrol for two years. He is survived by his parents and two siblings.",23,"2 years, 1 month",269,Gunfire,"Wednesday, December 1, 2010",Cause: Gunfire Weapon: Shotgun; 12 gauge Offender: Committed suicide,David DeLaittre,100.0
https://www.odmp.org/officer/23252-deputy-sheriff-mason-palmer-bethea-moore,Deputy Sheriff Mason Palmer Bethea Moore,"Deputy Sheriff Mason Moore was shot and killed while involved in a pursuit of a vehicle near mile marker 109 on Highway 287, south of I-90. The vehicle he was pursuing had fled as he attempted to stop it for a traffic violation. During the pursuit, the occupants opened fire, severely wounding him and causing his vehicle to go off the roadway. The subjects then made a U-turn and returned to the patrol car, where they fired over two dozen rounds into it, striking Deputy Moore twice in the head. A short time later, members of the Montana Highway Patrol located the suspect vehicle in Butte-Silver Bow County and attempted to stop it. The ensuing pursuit traveled through several counties as the occupants continued firing at officers. Tire deflation devices were successfully deployed in Powell County, bringing the pursuit to an end. The passenger of the vehicle then exited the car and exchanged shots with officers before being mortally wounded. The vehicle's driver was taken into custody and subsequently charged with 16 counts of premeditated, deliberate homicide. Investigation revealed that the father and son had intended to locate and murder a law enforcement officer that night. The driver was found guilty of three counts of deliberate homicide by accountability and two counts of attempted deliberate homicide and sentenced to three concurrent life sentences. Deputy Moore had served with the Broadwater County Sheriff's Office for three years and had served in law enforcement for a total of 15 years. He is survived by his wife and three children.",42,15 years,43-8,Gunfire,"Tuesday, May 16, 2017",Cause: Gunfire Weapon: Gun; Unknown type Offender: Shot and killed,Mason Moore,100.0
https://www.odmp.org/officer/24262-deputy-sheriff-jacob-otto-allmendinger,Deputy Sheriff Jacob Otto Allmendinger,"Deputy Sheriff Jake Allmendinger was struck and killed by his patrol car on Fairy Lake Road in the Bridger mountain range. He and another deputy were responding to the area to check on the welfare of a stranded motorist. Their patrol Tahoe started to slide backward on ice as they attempted to drive up an incline while looking for the motorist. Deputy Allmendinger exited the vehicle as it slid but became trapped beneath it. Deputy Allmendinger had served as a deputy with the Gallatin County Sheriff's Office for two years. He had previously served a dispatcher and a search and rescue volunteer for over eight years. He is survived by his wife, three children, and parents.",31,"2 years, 1 month",677,Struck by vehicle,"Saturday, October 19, 2019",Cause: Struck by vehicle,Jacob Allmendinger,100.0
https://www.odmp.org/officer/5025-undersheriff-otto-s-fossen,Undersheriff Otto S. Fossen,"Undersheriff Otto Fossen was shot and killed by a hitchhiker he had picked up. Donald L. Bujok, age 21, of Roundup, Montana stole a car east of Chester and proceeded to flee west on Highway 2. Local law enforcement had been alerted and as the Sheriff Dodd Keith was setting up a roadblock, Undersheriff Otto Fossen drove to Joplin to investigate a car stopped on the highway. The events of Undersheriff Fossen's attack is unclear since there were no witnesses, but it was confirmed that Undersheriff Fossen was shot five times in the neck and body and managed to get off two shots as he attempted to subdue the attacker. The suspect managed to escape in the Undersheriffâ€™s car and proceeded west at a high rate of speed. Undersheriff Fossen was still alive when local residents found him and took him directly to the hospital where he was pronounced dead on arrival. The suspect continued to flee, but left the car in a field and continued on foot.  A manhunt was organized and approximately 200 volunteers searched the area. After an exhaustive search the suspect, Bujok, surrendered. A disassembled revolver was found in his hiding spot, and after an x-ray cartridges were found in his intestinal tract.  When the cartridges were recovered and examined by forensics the evidence was conclusive that he had been wounded by Undersheriff Fossen's weapon. Bujok was convicted and sentenced to life in prison.",Not available,Not available,Not available,Gunfire,"Saturday, October 5, 1957",Cause: Gunfire Weapon: Gun; Unknown type Offender: Sentenced to life,Otto Fossen,100.0
https://www.odmp.org/officer/6311-patrolman-richard-e-hedstrom,Patrolman Richard E. Hedstrom,"Patrolman Rick Hedstrom was struck and killed by a drunk driver during a traffic stop on U.S. 93, two miles south of Kalispell at 1:30 am. He was writing a warning for a malfunctioning headlight, and his training officer was sitting in the patrol car when it was struck from behind by a pickup truck traveling at 87 mph. The impact pushed the patrol car into Patrolman Hedstrom, causing fatal injuries. The driver of the truck was to be charged with negligent homicide but died of injuries sustained in the collision. Patrolman Hedstrom had only served with the Montana Highway Patrol for 18 days. He is survived by his wife, son, brother, and three sisters.",24,2 weeks,307,Vehicular assault,"Thursday, July 19, 1973",Cause: Vehicular assault Weapon: Automobile; Alcohol involved Offender: Killed in crash,Richard E. Hedstrom,100.0
