Number,Name,Legal Reference,Category
1,Lewis And Clark Highway,60-1-202,State Legislative Road and Bridge Designations
2,Lewis And Clark National Historic Trail Auto Route,,Federal Road Designations
3,Nez Perce National Historic Trail Auto Route,,Federal Road Designations
4,State Vietnam Veterans' Memorial,1-1-512,Other Legislative Designations
5,Veterans Memorial Highway,60-1-203,State Legislative Road and Bridge Designations
6,Beartooth Highway,,Federal Road Designations
7,Maureen And Mike Mansfield Heritage Route,60-1-204,State Legislative Road and Bridge Designations
8,Missouri Breaks Back Country Byway,,Federal Road Designations
9,Garnet Back Country Byway,,Federal Road Designations
10,Pioneer Mountains Scenic Byway,,Federal Road Designations
11,Big Sheep Creek Back Country Byway,,Federal Road Designations
12,Kings Hill Scenic Byway,,Federal Road Designations
13,Lake Koocanusa Scenic Byway,,Federal Road Designations
14,St. Regis-Paradise Scenic Byway,,Federal Road Designations
15,Charles M. Russell Trail,60-1-205,State Legislative Road and Bridge Designations
16,Camino Real Corridor,,Federal Road Designations
17,Donald J. Ruhl Medal Of Honor Highway,60-1-206,State Legislative Road and Bridge Designations
18,Canamex Corridor,,Federal Road Designations
19,First Special Services Force Memorial Highway,,State Road and Bridge Designations
20,Old Forts Trail,60-1-207,State Legislative Road and Bridge Designations
21,Montana Highway 3,60-1-208,State Legislative Road and Bridge Designations
23,Big Sky Back Country Byway,,Federal Road Designations
25,Tom Matsko Bluebird Trail Highway,,State Road and Bridge Designations
26,163rd Infantry Regiment (Sunset Division) Heritage Highway,60-1-209,State Legislative Road and Bridge Designations
27,Purple Heart Trail,60-1-210,State Legislative Road and Bridge Designations
28,Montana State Firefighters' Memorial,1-1-519,Other Legislative Designations
29,Theodore Roosevelt Expressway,,Federal Road Designations
30,Rawhide Stampede Rustlers And Rendezvous Trade Corridor,60-2-140,State Legislative Road and Bridge Designations
31,Patrick G. Galvin Memorial Highway,60-1-211,State Legislative Road and Bridge Designations
32,Richard Dean Roebling Memorial Highway,60-1-212,State Legislative Road and Bridge Designations
33,State Korean War Veterans' Memorial -- Butte,1-1-516,Other Legislative Designations
34,Official Home Of The Evelyn Cameron Gallery -- Terry,1-1-526,Other Legislative Designations
35,James E. McKenna Memorial Rest Area,,Other Legislative Designations
36,Warrior Trail Highway,60-1-214,State Legislative Road and Bridge Designations
37,Paul J. Erickson Memorial Highway,,State Road and Bridge Designations
38,Robert E. Ewing Jr. Memorial Highway,60-1-213,State Legislative Road and Bridge Designations
39,Highway Patrol Officer Evan F. Schneider Memorial Highway,60-1-216,State Legislative Road and Bridge Designations
40,Highway Patrol Officer David Graham Memorial Highway,60-1-215,State Legislative Road and Bridge Designations
41,Kyle G. Bohrnsen PFC US Army Memorial Bridge,,State Road and Bridge Designations
42,Highway Patrol Officer Christopher L. Hoyt Memorial Highway,,State Road and Bridge Designations
43,Highway Patrol Officer David DeLaittre Memorial Highway,60-1-218,State Legislative Road and Bridge Designations
44,Highway Patrol Officer Michael W. Haynes Memorial Highway,60-1-217,State Legislative Road and Bridge Designations
45,Pintler Veterans' Memorial Scenic Highway,60-1-219,State Legislative Road and Bridge Designations
46,Deborah Hobbs, LCSO 15-47 Memorial Highway,State Road and Bridge Designations
47,Patrick A. Pyette Memorial Highway,60-1-220,State Legislative Road and Bridge Designations
48,Veterans Bridge,,State Road and Bridge Designations
49,Prisoner Of War / Missing In Action Memorial Highway,,State Road and Bridge Designations
50,Joshua Thomas 'Josh' Rutherford Memorial Highway,60-1-221,State Legislative Road and Bridge Designations
52,Fort Shaw Fire Chief David Anderson Memorial Highway,,Other MDT Designations
53,Highway Patrol Officer Michael M. Ren Memorial Highway,,Other MDT Designations
54,Highway Patrol Officer Richard E. Hedstrom Memorial Highway,,Other MDT Designations
55,Highway Patrol Officer James H. Anderson Memorial Highway,,Other MDT Designations
56,Highway Patrol Officer Robert G. Steele Memorial Highway,,Other MDT Designations
57,Patricia Abelin Memorial Bridge,,Other MDT Designations
58,Pikuni Veterans Memorial Bridge,,Other MDT Designations
59,Joseph J. Dunn Memorial Highway,60-1-222,State Legislative Road and Bridge Designations
60,Montana Veterans' Memorial,1-1-523,Other Legislative Designations
61,Northeast Montana Veterans Memorial Park,1-1-524,Other Legislative Designations
62,Ivan Doig Memorial Highway,,Other MDT Designations
63,David L. Briese Jr Memorial Highway,60-1-223,State Legislative Road and Bridge Designations
64,Shelby Veterans' Memorial Flag Monument,1-1-527,Other Legislative Designations
65,Senator Conrad Burns Memorial Highway,60-1-224,State Legislative Road and Bridge Designations
66,Michael John MacKinnon Memorial Bridge,,Other MDT Designations
67,Dolly Smith Akers Memorial Highway,60-1-229,State Legislative Road and Bridge Designations
68,Flathead County Veterans Memorial,,Other MDT Designations
69,Mason Moore Memorial Highway,60-1-230,State Legislative Road and Bridge Designations
70,Montana Medal Of Honor Highway,60-1-228,State Road and Bridge Designations
71,Minnie Spotted-Wolf Memorial Highway,60-1-234,State Road and Bridge Designations
72,Louis Charles Charlo Memorial Highway,60-1-235,State Road and Bridge Designations
73,Trenton Johnson Memorial Highway,60-1-226,State Road and Bridge Designations
74,Jeannette Rankin Memorial Highway,60-1-233,State Road and Bridge Designations
75,Brent Witham Memorial Highway,60-1-231,State Road and Bridge Designations
76,David Thatcher Memorial Highway,60-1-225,State Road and Bridge Designations
77,Pearl Harbor Veterans Memorial Highway,60-1-227,State Road and Bridge Designations
78,Tim W. Reardon Memorial Bridge,,Other MDT Designations
79,Jim Posewitz Memorial Highway,,Other MDT Designations
80,Helen Clarke Memorial Highway,60-1-237,State Road and Bridge Designations
81,Beartracks Bridge,,Other MDT Designations
82,Otto Fossen Memorial Highway,60-1-236,State Road and Bridge Designations
83,Terry Spotted Wolf, Sr. Memorial Highway,State Road and Bridge Designations
84,Harry A. Paulson Memorial Overpass,,Other MDT Designations
85,Chief Earl Old Person Memorial Highway,60-1-239,State Road and Bridge Designations
86,Jacob Allmendinger Memorial Highway,60-1-240,State Road and Bridge Designations
87,Ensign James A. Shelton Memorial Highway,60-1-241,State Road and Bridge Designations
88,Carbon County Veterans Memorial Loop,,Other MDT Designations
89,Arthur J. Rambo Memorial Bridge,,State Road and Bridge Designations
90,Jim Loud Thunder Gopher Memorial Highway,,State Road and Bridge Designations
91,Laverne Parrish Memorial Highway,,State Road and Bridge Designations
92,Danny L. Radish Highway,,State Road and Bridge Designations
,State Korean War Veterans' Memorial -- Missoula,1-1-517,Other Legislative Designations
,State Veterans' Memorial Rose Garden,1-1-518,Other Legislative Designations
,State Iraq And Afghanistan Veterans' Memorial (Grateful Nation Montana),1-1-521,Other Legislative Designations
